wavelength,counts
659.5,9.65E+03
660,9.73E+03
660.5,9.78E+03
661,9.80E+03
661.5,9.76E+03
662,9.71E+03
662.5,9.71E+03
663,9.72E+03
663.5,9.73E+03
664,9.74E+03
664.5,9.70E+03
665,9.66E+03
665.5,9.62E+03
666,9.60E+03
666.5,9.60E+03
667,9.61E+03
667.5,9.61E+03
668,9.62E+03
668.5,9.62E+03
669,9.59E+03
669.5,9.56E+03
670,9.56E+03
670.5,9.58E+03
671,9.60E+03
671.5,9.62E+03
672,9.57E+03
672.5,9.47E+03
673,9.39E+03
673.5,9.30E+03
674,9.24E+03
674.5,9.17E+03
675,9.10E+03
675.5,9.04E+03
676,8.97E+03
676.5,8.91E+03
677,8.85E+03
677.5,8.79E+03
678,8.74E+03
678.5,8.70E+03
679,8.70E+03
679.5,8.71E+03
680,8.68E+03
680.5,8.62E+03
681,8.53E+03
681.5,8.43E+03
682,8.44E+03
682.5,8.45E+03
683,8.42E+03
683.5,8.37E+03
684,8.25E+03
684.5,8.07E+03
685,7.81E+03
685.5,7.47E+03
686,7.09E+03
686.5,6.78E+03
687,6.65E+03
687.5,6.66E+03
688,6.74E+03
688.5,6.85E+03
689,6.94E+03
689.5,7.02E+03
690,7.09E+03
690.5,7.15E+03
691,7.14E+03
691.5,7.08E+03
692,6.97E+03
692.5,6.84E+03
693,6.75E+03
693.5,6.70E+03
694,6.72E+03
694.5,6.80E+03
695,6.94E+03
695.5,7.10E+03
696,7.26E+03
696.5,7.35E+03
697,7.37E+03
697.5,7.29E+03
698,7.15E+03
698.5,6.99E+03
699,6.84E+03
699.5,6.73E+03
700,6.66E+03
700.5,6.62E+03
701,6.60E+03
701.5,6.62E+03
702,6.68E+03
702.5,6.75E+03
703,6.84E+03
703.5,6.91E+03
704,6.92E+03
704.5,6.91E+03
705,6.88E+03
705.5,6.87E+03
706,6.89E+03
706.5,6.91E+03
707,6.93E+03
707.5,6.92E+03
708,6.88E+03
708.5,6.86E+03
709,6.86E+03
709.5,6.87E+03
710,6.88E+03
710.5,6.89E+03
711,6.86E+03
711.5,6.81E+03
712,6.76E+03
712.5,6.70E+03
713,6.62E+03
713.5,6.52E+03
714,6.38E+03
714.5,6.18E+03
715,5.89E+03
715.5,5.54E+03
716,5.16E+03
716.5,4.80E+03
717,4.51E+03
717.5,4.30E+03
718,4.15E+03
718.5,4.08E+03
719,4.10E+03
719.5,4.24E+03
720,4.49E+03
720.5,4.77E+03
721,4.98E+03
721.5,5.09E+03
722,5.05E+03
722.5,4.88E+03
723,4.70E+03
723.5,4.53E+03
724,4.39E+03
724.5,4.34E+03
725,4.31E+03
725.5,4.31E+03
726,4.32E+03
726.5,4.33E+03
727,4.34E+03
727.5,4.35E+03
728,4.36E+03
728.5,4.36E+03
729,4.36E+03
729.5,4.41E+03
730,4.50E+03
730.5,4.61E+03
731,4.77E+03
731.5,4.92E+03
732,5.08E+03
732.5,5.24E+03
733,5.36E+03
733.5,5.43E+03
734,5.44E+03
734.5,5.42E+03
735,5.40E+03
735.5,5.41E+03
736,5.43E+03
736.5,5.46E+03
737,5.50E+03
737.5,5.52E+03
738,5.54E+03
738.5,5.57E+03
739,5.61E+03
739.5,5.65E+03
740,5.69E+03
740.5,5.73E+03
741,5.76E+03
741.5,5.80E+03
742,5.82E+03
742.5,5.84E+03
743,5.85E+03
743.5,5.86E+03
744,5.86E+03
744.5,5.87E+03
745,5.87E+03
745.5,5.86E+03
746,5.84E+03
746.5,5.81E+03
747,5.78E+03
747.5,5.76E+03
748,5.73E+03
748.5,5.71E+03
749,5.69E+03
749.5,5.69E+03
750,5.69E+03
750.5,5.66E+03
751,5.63E+03
751.5,5.57E+03
752,5.52E+03
752.5,5.49E+03
753,5.47E+03
753.5,5.46E+03
754,5.44E+03
754.5,5.42E+03
755,5.41E+03
755.5,5.41E+03
756,5.38E+03
756.5,5.32E+03
757,5.15E+03
757.5,4.82E+03
758,4.37E+03
758.5,3.82E+03
759,3.26E+03
759.5,2.82E+03
760,2.56E+03
760.5,2.46E+03
761,2.46E+03
761.5,2.49E+03
762,2.54E+03
762.5,2.60E+03
763,2.72E+03
763.5,2.90E+03
764,3.09E+03
764.5,3.30E+03
765,3.50E+03
765.5,3.70E+03
766,3.90E+03
766.5,4.09E+03
767,4.22E+03
767.5,4.30E+03
768,4.36E+03
768.5,4.41E+03
769,4.44E+03
769.5,4.46E+03
770,4.47E+03
770.5,4.46E+03
771,4.45E+03
771.5,4.43E+03
772,4.43E+03
772.5,4.43E+03
773,4.44E+03
773.5,4.43E+03
774,4.41E+03
774.5,4.39E+03
775,4.36E+03
775.5,4.34E+03
776,4.31E+03
776.5,4.28E+03
777,4.25E+03
777.5,4.23E+03
778,4.21E+03
778.5,4.19E+03
779,4.19E+03
779.5,4.18E+03
780,4.17E+03
780.5,4.16E+03
781,4.14E+03
781.5,4.11E+03
782,4.08E+03
782.5,4.04E+03
783,4.00E+03
783.5,3.98E+03
784,3.96E+03
784.5,3.93E+03
785,3.90E+03
785.5,3.85E+03
786,3.79E+03
786.5,3.74E+03
787,3.71E+03
787.5,3.67E+03
788,3.63E+03
788.5,3.59E+03
789,3.55E+03
789.5,3.51E+03
790,3.49E+03
790.5,3.48E+03
791,3.47E+03
791.5,3.48E+03
792,3.49E+03
792.5,3.49E+03
793,3.49E+03
793.5,3.48E+03
794,3.45E+03
794.5,3.41E+03
795,3.37E+03
795.5,3.34E+03
796,3.32E+03
796.5,3.31E+03
797,3.31E+03
797.5,3.31E+03
798,3.30E+03
798.5,3.28E+03
799,3.26E+03
799.5,3.24E+03
800,3.22E+03
800.5,3.20E+03
801,3.18E+03
801.5,3.15E+03
802,3.21E+03
802.5,3.29E+03
803,3.32E+03
803.5,3.35E+03
804,3.31E+03
804.5,3.23E+03
805,3.19E+03
805.5,3.17E+03
806,3.16E+03
806.5,3.15E+03
807,3.13E+03
807.5,3.11E+03
808,3.07E+03
808.5,3.02E+03
809,2.97E+03
809.5,2.91E+03
810,2.85E+03
810.5,2.79E+03
811,2.74E+03
811.5,2.68E+03
812,2.61E+03
812.5,2.54E+03
813,2.45E+03
813.5,2.36E+03
814,2.30E+03
814.5,2.27E+03
815,2.24E+03
815.5,2.22E+03
816,2.21E+03
816.5,2.20E+03
817,2.20E+03
817.5,2.22E+03
818,2.24E+03
818.5,2.28E+03
819,2.33E+03
819.5,2.36E+03
820,2.36E+03
820.5,2.34E+03
821,2.30E+03
821.5,2.25E+03
822,2.21E+03
822.5,2.21E+03
823,2.25E+03
823.5,2.29E+03
824,2.34E+03
824.5,2.38E+03
825,2.39E+03
825.5,2.38E+03
826,2.40E+03
826.5,2.42E+03
827,2.42E+03
827.5,2.41E+03
828,2.41E+03
828.5,2.42E+03
829,2.44E+03
829.5,2.45E+03
830,2.43E+03
830.5,2.37E+03
831,2.32E+03
831.5,2.30E+03
832,2.31E+03
832.5,2.33E+03
833,2.35E+03
833.5,2.38E+03
834,2.39E+03
834.5,2.40E+03
835,2.41E+03
835.5,2.42E+03
836,2.42E+03
836.5,2.44E+03
837,2.47E+03
837.5,2.50E+03
838,2.51E+03
838.5,2.51E+03
839,2.50E+03
839.5,2.51E+03
840,2.52E+03
840.5,2.52E+03
841,2.56E+03
841.5,2.57E+03
842,2.57E+03
842.5,2.56E+03
843,2.53E+03
843.5,2.51E+03
844,2.50E+03
844.5,2.50E+03
845,2.51E+03
845.5,2.51E+03
846,2.53E+03
846.5,2.54E+03
847,2.52E+03
847.5,2.50E+03
848,2.45E+03
848.5,2.41E+03
849,2.39E+03
849.5,2.39E+03
850,2.40E+03
850.5,2.41E+03
851,2.40E+03
851.5,2.37E+03
852,2.34E+03
852.5,2.32E+03
853,2.31E+03
853.5,2.31E+03
854,2.31E+03
854.5,2.32E+03
855,2.32E+03
855.5,2.34E+03
856,2.37E+03
856.5,2.38E+03
857,2.37E+03
857.5,2.35E+03
858,2.34E+03
858.5,2.33E+03
859,2.33E+03
859.5,2.32E+03
860,2.32E+03
860.5,2.31E+03
861,2.30E+03
861.5,2.29E+03
862,2.29E+03
862.5,2.31E+03
863,2.33E+03
863.5,2.32E+03
864,2.30E+03
864.5,2.26E+03
865,2.21E+03
865.5,2.17E+03
866,2.20E+03
866.5,2.25E+03
867,2.27E+03
867.5,2.29E+03
868,2.29E+03
868.5,2.25E+03
869,2.24E+03
869.5,2.23E+03
870,2.22E+03
870.5,2.21E+03
871,2.20E+03
871.5,2.21E+03
872,2.24E+03
872.5,2.24E+03
873,2.23E+03
873.5,2.22E+03
874,2.18E+03
874.5,2.16E+03
875,2.15E+03
875.5,2.14E+03
876,2.13E+03
876.5,2.13E+03
877,2.12E+03
877.5,2.11E+03
878,2.11E+03
878.5,2.10E+03
879,2.10E+03
879.5,2.09E+03
880,2.08E+03
